timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1590671875973,27579,Authentication,200,OK,Baseline performance Test 1-1,text,true,,477,577,1,1,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,27578,0,26234
1590671903567,3146,GetAllClients,200,OK,Baseline performance Test 1-1,text,true,,7139,610,2,2,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,673,0,4
1590671903567,673,GetAllClients-0,302,Found,Baseline performance Test 1-1,,true,,280,305,2,2,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,673,0,4
1590671904629,2084,GetAllClients-1,200,OK,Baseline performance Test 1-1,text,true,,6859,305,2,2,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,2084,0,1624
1590671905877,1069,Authentication,200,OK,Baseline performance Test 1-2,text,true,,477,577,2,2,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,1069,0,721
1590671906954,1903,GetAllClients,200,OK,Baseline performance Test 1-2,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,574,0,5
1590671906954,574,GetAllClients-0,302,Found,Baseline performance Test 1-2,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,574,0,5
1590671907530,1327,GetAllClients-1,200,OK,Baseline performance Test 1-2,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1327,0,712
1590671935119,1582,Authentication,200,OK,Baseline performance Test 1-3,text,true,,477,577,1,1,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,1582,0,1153
1590671936702,1961,GetAllClients,200,OK,Baseline performance Test 1-3,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,729,0,144
1590671936702,729,GetAllClients-0,302,Found,Baseline performance Test 1-3,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,729,0,144
1590671937432,1231,GetAllClients-1,200,OK,Baseline performance Test 1-3,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1231,0,758
1590671965120,1201,Authentication,200,OK,Baseline performance Test 1-4,text,true,,477,577,1,1,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,1201,0,823
1590671966324,1918,GetAllClients,200,OK,Baseline performance Test 1-4,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,633,0,2
1590671966324,633,GetAllClients-0,302,Found,Baseline performance Test 1-4,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,633,0,2
1590671966959,1283,GetAllClients-1,200,OK,Baseline performance Test 1-4,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1283,0,834
1590671995119,1832,Authentication,200,OK,Baseline performance Test 1-5,text,true,,477,577,1,1,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,1832,0,864
1590671996953,2116,GetAllClients,200,OK,Baseline performance Test 1-5,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,585,0,2
1590671996953,585,GetAllClients-0,302,Found,Baseline performance Test 1-5,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,585,0,2
1590671997540,1529,GetAllClients-1,200,OK,Baseline performance Test 1-5,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1529,0,941
1590672025145,1189,Authentication,200,OK,Baseline performance Test 1-6,text,true,,477,577,1,1,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,1189,0,771
1590672026337,2859,GetAllClients,200,OK,Baseline performance Test 1-6,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,930,0,3
1590672026337,930,GetAllClients-0,302,Found,Baseline performance Test 1-6,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,930,0,3
1590672027269,1927,GetAllClients-1,200,OK,Baseline performance Test 1-6,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1927,0,855
1590672055121,1675,Authentication,200,OK,Baseline performance Test 1-7,text,true,,477,577,1,1,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,1675,0,937
1590672056797,2103,GetAllClients,200,OK,Baseline performance Test 1-7,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,877,0,75
1590672056797,877,GetAllClients-0,302,Found,Baseline performance Test 1-7,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,877,0,75
1590672057676,1224,GetAllClients-1,200,OK,Baseline performance Test 1-7,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1224,0,753
1590672085117,1596,Authentication,200,OK,Baseline performance Test 1-8,text,true,,477,577,1,1,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,1596,0,711
1590672086715,2660,GetAllClients,200,OK,Baseline performance Test 1-8,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,692,0,3
1590672086715,692,GetAllClients-0,302,Found,Baseline performance Test 1-8,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,692,0,3
1590672087409,1966,GetAllClients-1,200,OK,Baseline performance Test 1-8,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1966,0,874
1590672115119,1704,Authentication,200,OK,Baseline performance Test 1-9,text,true,,477,577,1,1,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,1704,0,868
1590672116826,2594,GetAllClients,200,OK,Baseline performance Test 1-9,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,742,0,2
1590672116826,742,GetAllClients-0,302,Found,Baseline performance Test 1-9,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,742,0,2
1590672117569,1851,GetAllClients-1,200,OK,Baseline performance Test 1-9,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1851,0,780
1590672145118,1534,Authentication,200,OK,Baseline performance Test 1-10,text,true,,477,577,1,1,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,1534,0,690
1590672146654,2759,GetAllClients,200,OK,Baseline performance Test 1-10,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,823,0,3
1590672146654,823,GetAllClients-0,302,Found,Baseline performance Test 1-10,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,823,0,3
1590672147478,1935,GetAllClients-1,200,OK,Baseline performance Test 1-10,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1935,0,838
